protein_id	go_term	score	aspect
A0A075B6Y9	GO:0050829	0.430	P
A0A075B6Y9	GO:0050830	0.421	P
A0A075B706	GO:0050829	0.415	P
A0A075B706	GO:0050830	0.378	P
A0A087WWA1	GO:0007283	0.317	P
A0A0A2J9B3	GO:0006357	0.329	P
A0A0A2J9B3	GO:0045944	0.376	P
A0A0A2JK41	GO:0140403	0.435	P
A0A0A8X0K1	GO:0009061	0.466	P
A0A0A8X338	GO:0009061	0.632	P
A0A0A8X338	GO:0019645	0.672	P
A0A0D1DPX0	GO:0002777	0.904	P
A0A0E1RWL5	GO:0035837	0.310	P
A0A0E1RWL5	GO:1900781	0.440	P
A0A0E1RWL5	GO:1900809	0.464	P
A0A0E1RXK8	GO:0042318	0.356	P
A0A0E1RXK8	GO:0045122	0.337	P
A0A0E3D8N3	GO:1902181	0.449	P
A0A0F6BAH8	GO:0045927	0.345	P
A0A0F6NRE2	GO:0016998	0.308	P
A0A0F9X418	GO:0140874	0.325	P
A0A0H3LMJ1	GO:0000160	0.552	P
A0A0H3LVU7	GO:0000160	0.535	P
A0A0J9U5N0	GO:0045944	0.466	P
A0A0J9W9G2	GO:0006357	0.318	P
A0A0M4JNZ0	GO:0050911	0.849	P
A0A0N7KBN8	GO:0006952	0.573	P
A0A0N7KBN8	GO:0019953	0.358	P
A0A0N7KBN8	GO:0050829	0.383	P
A0A0N7KBN8	GO:0050830	0.316	P
A0A0N7KBN8	GO:0050832	0.323	P
A0A0N9LWM6	GO:0044179	0.623	P
A0A0N9LWM6	GO:0050829	0.816	P
A0A0N9LWM6	GO:0050830	0.754	P
A0A0N9LWM6	GO:0050832	0.383	P
A0A0P0UTI6	GO:0002777	0.561	P
A0A0P0UTJ1	GO:0044179	0.308	P
A0A0P0UTJ1	GO:0050829	0.570	P
A0A0P0UTJ1	GO:0050830	0.443	P
A0A0P0UTJ1	GO:0050832	0.335	P
A0A0P0UTQ7	GO:0002777	0.359	P
A0A0P0UTQ7	GO:0006952	0.520	P
A0A0P0UTQ7	GO:0050830	0.308	P
A0A194VQN7	GO:0044550	0.386	P
A0A194VQN7	GO:0140878	0.437	P
A0A194VQN7	GO:1900781	0.302	P
A0A1B0GTS1	GO:0000122	0.357	P
A0A1B0GWH4	GO:0000122	0.346	P
A0A1B0GWH6	GO:1901894	0.409	P
A0A1D8PCF5	GO:0045944	0.378	P
A0A1D8PCM7	GO:0006357	0.486	P
A0A1D8PCM7	GO:0045944	0.388	P
A0A1D8PCT5	GO:0035268	0.377	P
A0A1D8PCT5	GO:0046354	0.573	P
A0A1D8PCT7	GO:0035268	0.341	P
A0A1D8PCT7	GO:0046354	0.394	P
