protein_id	go_term	score	aspect
A0A067N4H9	GO:0001907	0.474	P
A0A067N4H9	GO:0042243	0.452	P
A0A067N4P3	GO:0042243	0.538	P
A0A067N4P7	GO:0042243	0.358	P
A0A067N582	GO:0042243	0.587	P
A0A067N648	GO:0042243	0.788	P
A0A067N7P3	GO:0042243	0.366	P
A0A067NEJ5	GO:0001907	0.446	P
A0A067NEJ5	GO:0042243	0.714	P
A0A067NFU6	GO:0001907	0.475	P
A0A067NFU6	GO:0042243	0.339	P
A0A067NGV3	GO:0001907	0.321	P
A0A067NGV3	GO:0042243	0.826	P
A0A067NHE1	GO:0042243	0.814	P
A0A067NHW8	GO:0042243	0.891	P
A0A067NMT6	GO:0042243	0.659	P
A0A067NN74	GO:0001907	0.399	P
A0A067NN74	GO:0042243	0.852	P
A0A067NRJ8	GO:0042243	0.812	P
A0A067NRQ5	GO:0042243	0.662	P
A0A067P1E6	GO:0042243	0.772	P
A0A067P1K6	GO:0001907	0.337	P
A0A067P1K6	GO:0042243	0.738	P
A0A067P494	GO:0001907	0.501	P
A0A067P494	GO:0042243	0.637	P
A0A067P943	GO:0042243	0.692	P
A0A067PCX8	GO:0001907	0.342	P
A0A067PCX8	GO:0042243	0.705	P
A0A075B6Y3	GO:0007218	0.487	P
A0A075B6Y9	GO:0007218	0.323	P
A0A075B700	GO:0007218	0.465	P
A0A075B706	GO:0007218	0.409	P
A0A0A0MT70	GO:0007218	0.524	P
A0A0A0MT87	GO:0007218	0.508	P
A0A0A0MT94	GO:0007218	0.865	P
A0A0A0MTA7	GO:0007218	0.680	P
A0A0A2J434	GO:0042243	0.521	P
A0A0A8X0K1	GO:0019645	0.599	P
A0A0A8X338	GO:0019646	0.365	P
A0A0D1BZL3	GO:0042243	0.926	P
A0A0D1DPX0	GO:0002777	0.863	P
A0A0E1RWL5	GO:0044550	0.371	P
A0A0E1RXK8	GO:1900812	0.325	P
A0A0E3D8N3	GO:0140873	0.385	P
A0A0F6B5X3	GO:0045892	0.488	P
A0A0F6B5X3	GO:0045927	0.346	P
A0A0F6B5X4	GO:0009432	0.538	P
A0A0F6B5X4	GO:0032359	0.300	P
A0A0F6B8D9	GO:0045892	0.375	P
A0A0F6BAH8	GO:0045927	0.538	P
A0A0F9X418	GO:1900560	0.362	P
A0A0F9X418	GO:2001310	0.310	P
A0A0J9U5N0	GO:0045944	0.306	P
A0A0J9UHQ6	GO:0000128	0.428	P
A0A0J9UHQ6	GO:0030447	0.356	P
A0A0J9UHQ6	GO:0031505	0.696	P
A0A0J9UHQ6	GO:0044011	0.344	P
A0A0J9UJP6	GO:0042243	0.373	P
A0A0J9VT58	GO:1900376	0.358	P
A0A0J9VYS2	GO:1900376	0.373	P
A0A0J9W9G2	GO:1900376	0.373	P
A0A0J9WAS0	GO:1900376	0.369	P
A0A0J9WG94	GO:0006357	0.349	P
A0A0J9WVC0	GO:1900376	0.315	P
A0A0J9YWL9	GO:0051656	0.460	P
A0A0J9YWL9	GO:0140089	0.325	P
A0A0J9YWP8	GO:0007218	0.314	P
A0A0J9YXG5	GO:0007218	0.494	P
A0A0J9YXM7	GO:0007218	0.398	P
A0A0L1JEZ9	GO:0044550	0.373	P
A0A0M4JNZ0	GO:0007608	0.820	P
A0A0M4JNZ0	GO:0050911	0.941	P
A0A0M8N4S6	GO:1900560	0.393	P
A0A0N7KBN8	GO:0006952	0.489	P
A0A0N7KBN8	GO:0044493	0.627	P
A0A0N7KBN8	GO:0050829	0.310	P
A0A0N7KBN8	GO:0050830	0.423	P
A0A0N7KBN8	GO:0051715	0.342	P
A0A0N9LWM6	GO:0002776	0.682	P
A0A0N9LWM6	GO:0007218	0.808	P
A0A0P0UTI6	GO:0045987	0.312	P
A0A0P0UTJ1	GO:0042742	0.305	P
A0A0P0UTJ1	GO:0050829	0.517	P
A0A0P0UTJ1	GO:0050830	0.557	P
A0A0Q9K5G9	GO:0009401	0.537	P
A0A125YR73	GO:0048072	0.365	P
A0A125YYB5	GO:0006370	0.965	P
A0A125YYB5	GO:0008033	0.424	P
A0A194VQN7	GO:0140722	0.389	P
A0A194VQT0	GO:0055085	0.354	P
A0A1B0GUV8	GO:0001516	0.599	P
A0A1B0GW54	GO:1901894	0.325	P
A0A1D8PCF5	GO:0045944	0.384	P
A0A1D8PCM7	GO:0006357	0.473	P
A0A1D8PCM7	GO:0045944	0.377	P
A0A1D8PDI4	GO:0006357	0.497	P
A0A1D8PDI4	GO:0045944	0.543	P
A0A1D8PEH1	GO:0045944	0.310	P
A0A1D8PEJ0	GO:0035268	0.524	P
A0A1D8PG41	GO:0006357	0.373	P
A0A1D8PG41	GO:0045944	0.509	P
A0A1D8PGF3	GO:0006357	0.326	P
A0A1D8PGF3	GO:0045944	0.452	P
A0A1D8PGW8	GO:0030447	0.494	P
A0A1D8PHW6	GO:0006357	0.572	P
A0A1D8PHW6	GO:0045944	0.633	P
A0A1D8PHW6	GO:1900445	0.362	P
A0A1D8PJ72	GO:0030447	0.673	P
A0A1D8PJ72	GO:0036180	0.423	P
A0A1D8PJ72	GO:0045944	0.477	P
A0A1D8PJ72	GO:1900189	0.378	P
A0A1D8PJ72	GO:1900445	0.655	P
A0A1D8PJ96	GO:0030447	0.311	P
A0A1D8PJ96	GO:0045944	0.663	P
A0A1D8PJJ7	GO:0006357	0.427	P
A0A1D8PJJ7	GO:0045944	0.686	P
A0A1D8PJX7	GO:0006338	0.346	P
A0A1D8PJX7	GO:0030447	0.774	P
A0A1D8PJX7	GO:0036180	0.492	P
A0A1D8PJX7	GO:0045944	0.405	P
A0A1D8PJX7	GO:1900189	0.482	P
A0A1D8PJX7	GO:1900445	0.648	P
A0A1D8PKB5	GO:0006357	0.437	P
A0A1D8PKB5	GO:0030447	0.410	P
A0A1D8PKB5	GO:0045944	0.629	P
A0A1D8PKB5	GO:0071400	0.337	P
A0A1D8PKB5	GO:1900445	0.524	P
A0A1D8PL89	GO:0006357	0.374	P
A0A1D8PL89	GO:0009267	0.395	P
A0A1D8PL89	GO:0010811	0.311	P
A0A1D8PL89	GO:0030447	0.839	P
A0A1D8PL89	GO:0036170	0.393	P
A0A1D8PL89	GO:0036178	0.379	P
A0A1D8PL89	GO:0036180	0.544	P
A0A1D8PL89	GO:0036244	0.423	P
A0A1D8PL89	GO:0044011	0.423	P
A0A1D8PL89	GO:0044182	0.612	P
A0A1D8PL89	GO:0045944	0.521	P
A0A1D8PL89	GO:0071280	0.318	P
A0A1D8PL89	GO:1900429	0.373	P
A0A1D8PL89	GO:1900430	0.342	P
A0A1D8PL89	GO:1900436	0.616	P
A0A1D8PL89	GO:1900442	0.476	P
