Method,Fmax,Smin,AUPR,AUC
blast,0.355,11.018,0.238,0.697
DeepGO-SE,0.747,9.249,0.674,0.897
ESM2(8M)+MLP,0.655,10.123,0.496,0.902
Naive,0.494,10.951,0.450,0.856
ProteinExt3(ESM2),0.663,9.847,0.561,0.767
ProteinExt3(ProtT5),0.659,9.826,0.557,0.790
ProteinExt3,0.674,9.527,0.584,0.778
ProteinExt3.1-BLAST,0.432,9.408,0.379,0.717
ProteinExt3.1-ESM2-L20,0.721,9.164,0.593,0.951
ProteinExt3.1-ESM2,0.706,9.582,0.572,0.948
ProteinExt3.1-ProtT5,0.707,9.576,0.584,0.944
ProteinExt3.1-noBLAST,0.718,9.277,0.613,0.952
ProteinExt3.1,0.721,9.170,0.631,0.955
TALE,0.711,9.956,0.625,0.946
