Method,Fmax,Smin,AUPR,AUC
blast,0.353,50.238,0.182,0.726
DeepGO-SE,0.467,43.068,0.269,0.835
ESM2(8M)+MLP,0.333,47.474,0.244,0.814
Naive,0.179,52.021,0.171,0.604
ProteinExt3(ESM2),0.223,46.637,0.333,0.582
ProteinExt3(ProtT5),0.267,45.874,0.316,0.597
ProteinExt3,0.372,41.535,0.403,0.650
ProteinExt3.1-BLAST,0.430,39.490,0.382,0.735
ProteinExt3.1-ESM2-L20,0.505,42.264,0.427,0.931
ProteinExt3.1-ESM2,0.479,44.308,0.379,0.919
ProteinExt3.1-ProtT5,0.481,44.436,0.378,0.918
ProteinExt3.1-noBLAST,0.505,42.832,0.422,0.931
ProteinExt3.1,0.553,38.878,0.475,0.941
TALE,0.389,47.474,0.286,0.798
