Aspect,Method,FmaxThreshold,SminThreshold
c,blast,0.2400,0.7300
f,blast,0.1900,0.2900
p,blast,0.2500,0.7300
c,DeepGO-SE,0.6600,0.4900
f,DeepGO-SE,0.3100,0.3400
p,DeepGO-SE,0.4700,0.4800
c,ESM2(8M)+MLP,0.1400,0.2100
f,ESM2(8M)+MLP,0.0400,0.0700
p,ESM2(8M)+MLP,0.0300,0.0800
c,Naive,0.1600,0.1600
f,Naive,0.4000,0.4000
p,Naive,0.0200,1.0000
c,ProteinExt3(ESM2),0.3000,0.4300
f,ProteinExt3(ESM2),0.3000,0.3000
p,ProteinExt3(ESM2),0.3000,0.3100
c,ProteinExt3(ProtT5),0.3200,0.5300
f,ProteinExt3(ProtT5),0.3000,0.3000
p,ProteinExt3(ProtT5),0.3000,0.3000
c,ProteinExt3,0.3000,0.3800
f,ProteinExt3,0.3000,0.3000
p,ProteinExt3,0.3000,0.3100
c,ProteinExt3.1-BLAST,0.2000,0.2300
f,ProteinExt3.1-BLAST,0.0200,0.0900
p,ProteinExt3.1-BLAST,0.0800,0.1700
c,ProteinExt3.1-ESM2-L20,0.3800,0.3300
f,ProteinExt3.1-ESM2-L20,0.1200,0.1400
p,ProteinExt3.1-ESM2-L20,0.2700,0.2700
c,ProteinExt3.1-ESM2,0.3400,0.3200
f,ProteinExt3.1-ESM2,0.0800,0.1200
p,ProteinExt3.1-ESM2,0.2100,0.2500
c,ProteinExt3.1-ProtT5,0.3000,0.2500
f,ProteinExt3.1-ProtT5,0.1200,0.1300
p,ProteinExt3.1-ProtT5,0.2200,0.2400
c,ProteinExt3.1-noBLAST,0.2900,0.2000
f,ProteinExt3.1-noBLAST,0.0600,0.0900
p,ProteinExt3.1-noBLAST,0.1200,0.1400
c,ProteinExt3.1,0.2900,0.2100
f,ProteinExt3.1,0.0900,0.1000
p,ProteinExt3.1,0.1500,0.1500
c,TALE,0.6100,0.4700
f,TALE,0.3800,0.3800
p,TALE,0.3700,0.3700
