Aspect,Method,FmaxThreshold,SminThreshold
cc,blast,0.2400,0.4200
mf,blast,0.0000,0.2800
bp,blast,0.2500,0.5500
cc,DeepGO-SE,0.6000,0.6100
mf,DeepGO-SE,0.2900,0.4400
bp,DeepGO-SE,0.3000,0.4700
cc,ESM2(8M)+MLP,0.1500,0.2200
mf,ESM2(8M)+MLP,0.0400,0.1300
bp,ESM2(8M)+MLP,0.0300,0.0800
cc,Naive,0.0800,0.1600
mf,Naive,0.0000,0.0500
bp,Naive,0.0200,0.0000
cc,ProteinExt3(ESM2),0.0000,0.3700
mf,ProteinExt3(ESM2),0.0000,0.3300
bp,ProteinExt3(ESM2),0.0000,0.0000
cc,ProteinExt3(ProtT5),0.0000,0.4600
mf,ProteinExt3(ProtT5),0.0000,0.0000
bp,ProteinExt3(ProtT5),0.0000,0.0000
cc,ProteinExt3,0.0000,0.4000
mf,ProteinExt3,0.0000,0.0000
bp,ProteinExt3,0.0000,0.0000
cc,predictions,0.1800,0.2800
mf,predictions,0.0700,0.1700
bp,predictions,0.1300,0.1800
cc,predictions_l20,0.2300,0.3800
mf,predictions_l20,0.1600,0.2800
bp,predictions_l20,0.1600,0.3000
cc,predictions_last,0.2800,0.3400
mf,predictions_last,0.1000,0.2600
bp,predictions_last,0.1300,0.2900
cc,predictions_t5,0.2500,0.3400
mf,predictions_t5,0.0700,0.2200
bp,predictions_t5,0.2200,0.2500
cc,TALE,0.4300,0.5800
mf,TALE,0.2500,0.4400
bp,TALE,0.2000,0.3900
